	name	place_id	price_level	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	The Natural Bakery	ChIJDzFW44wOZ0gRXO-qiI7azrU	2.0	bakery|food|point_of_interest|store|establishment	53.3494009	-6.2437142	False		bakery
1	Seven Wonders	ChIJbwMYgI4OZ0gRj2gxkYP-ZQU	2.0	cafe|bakery|food|point_of_interest|store|establishment	53.3485373	-6.243753300000001	False		bakery
2	karag	ChIJAdtd4XAPZ0gRkvdGbrmnY5M		bakery|food|point_of_interest|store|establishment	53.3487027	-6.2460722			bakery
3	Fellondon Bakery	ChIJy5N4EjIPZ0gR3pdxFhx8Wpk		bakery|food|point_of_interest|store|establishment	53.35464349999999	-6.246200900000001			bakery
4	Kane/McCartney's SuperValu Talbot Street	ChIJgcas1Y4OZ0gRqdVoyUeYksQ	2.0	supermarket|bakery|grocery_or_supermarket|liquor_store|food|point_of_interest|store|establishment	53.3511749	-6.252636399999999	False		bakery
5	Tea Time Express	ChIJTbU8SY8OZ0gR05aixGJJGBo		store|bakery|food|point_of_interest|establishment	53.3507652	-6.2540798	False		bakery
6	Solo Bake	ChIJM89s160PZ0gRiZ-43_Wgg10		bakery|food|point_of_interest|store|establishment	53.35808060000001	-6.243799099999999	True		bakery
7	Solo Bake	ChIJt3RKrgwPZ0gRmjKdu2qqlx4		bakery|food|point_of_interest|store|establishment	53.3580838	-6.2437979	True		bakery
8	Cookie spot	ChIJ_7aZavf3uQIRj6rbTnoCpGg		bakery|food|point_of_interest|store|establishment	53.3576054	-6.251147799999999	False		bakery
9	Loops & Coffee Dublin	ChIJ9ZHmq2oPZ0gRmIm4C4_sPOo		bakery|food|point_of_interest|store|establishment	53.3502346	-6.256609800000001	False		bakery
10	Gardner hostel	ChIJIa2sR_oPZ0gR6ParAvr2SEo		bakery|food|point_of_interest|store|establishment	53.3534446	-6.256545400000001			bakery
11	Offbeat Donut Co.	ChIJbXckZoUOZ0gRjq7RB0ioX-k	1.0	bakery|cafe|food|point_of_interest|store|establishment	53.34732210000001	-6.255548099999999	False		bakery
12	Bread 41	ChIJ166U_osPZ0gR_ApafUK35JQ	2.0	bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment	53.3447509	-6.251778600000001	False		bakery
13	Offbeat Donut Co.	ChIJFXcqpJEOZ0gRYu0Hh_zT4AQ	2.0	bakery|cafe|restaurant|food|point_of_interest|store|establishment	53.3436981	-6.249242	False		bakery
14	Hong Kong Taste Bakery & Bubble Tea 港式麵包珍珠奶茶專門店	ChIJBUf2g38PZ0gR6oMqHvVxJGg		bakery|cafe|food|point_of_interest|store|establishment	53.3481889	-6.256608600000001	False		bakery
15	Mineiro Cheese Bread	ChIJl_Vda_kPZ0gRkFoi7k1x5e4		bakery|food|point_of_interest|store|establishment	53.3540717	-6.2569873	False		bakery
16	URBAN KITCHEN Foods	ChIJ6YO2wSkQZ0gRQ3PF0R5aSXY		bakery|food|point_of_interest|store|establishment	53.3426958	-6.242537499999999	False		bakery
17	Il Valentino Bakery & Cafe	ChIJL1QDtuwOZ0gRfJVnkJJTu9k	2.0	bakery|cafe|food|point_of_interest|store|establishment	53.3426175	-6.239008900000001	False		bakery
18	Dublin City Bakery	ChIJpWQdrYUOZ0gR8eUPtihVE0c		bakery|food|point_of_interest|store|establishment	53.3488067	-6.258402200000001	False		bakery
19	Ann's Bakery	ChIJNQdSMIQOZ0gR_DnDHYvTQFY	1.0	bakery|food|point_of_interest|store|establishment	53.3500554	-6.259288199999999	False		bakery
20	Conchita Bakery	ChIJo8jE1zAPZ0gRh-wo_MOl9wc		bakery|food|point_of_interest|store|establishment	53.3536504	-6.2592744		143 R803, Rotunda, Dublin	bakery
21	Hansel and Gretel Bakery & Patisserie	ChIJR6JruJAOZ0gR0sSVbhbH_38	2.0	bakery|food|point_of_interest|store|establishment	53.3412988	-6.2516536	False	20 Clare St, Dublin 2, D02 TD45	bakery
22	Quigleys Cafe, Bakery & Deli	ChIJbw1u6IMOZ0gRvp2SJUfRpcc	2.0	bakery|food|point_of_interest|store|establishment	53.34959180000001	-6.2650383	False	Henry St, North City, Dublin 1	bakery
23	Gold Ribbon Bakeshoppe	ChIJ211JUnwOZ0gR2TACqU1eGa8		bakery|food|point_of_interest|store|establishment	53.3591394	-6.2615209	False	31 Dorset Street Lower, Mountjoy, Dublin 1, D01 XT73	bakery
24	Haoliland Cakes	ChIJ--P6MIMOZ0gR243x1yCU8dQ		bakery|food|point_of_interest|store|establishment	53.34579429999999	-6.2637459	False	37 Wellington Quay, Temple Bar, Dublin, D02 PY79	bakery
25	Ann's Bakery	ChIJmW0btIMOZ0gR4EqO1r3lkvk	1.0	bakery|restaurant|food|point_of_interest|store|establishment	53.3490468	-6.26551	False	41 Mary St, North City, Dublin 1, D01 AP11	bakery
26	SugarLoaf Bakery and Pastry Shop	ChIJxf1hIdwPZ0gROr4IOvh2Um4		bakery|food|point_of_interest|store|establishment	53.3600036	-6.261358	False	80 Dorset Street Lower, Dublin 1, D01 NX33	bakery
27	Bear Lemon	ChIJWfbObWoOZ0gR-N8e0q1Puow		bakery|food|point_of_interest|store|establishment	53.36201519999999	-6.259487099999999	False	2 Drumcondra Rd Lower, Drumcondra, Dublin 9	bakery
29	Honey Bun Bakery & Coffee	ChIJ42loS8sPZ0gROLC4_bOCNrs		bakery|food|point_of_interest|store|establishment	53.348642	-6.268236799999999	False	60 Mary St, North City, Dublin, D01 CD40	bakery
