	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Celtic Group Hostels	ChIJX1rCL48OZ0gREvDF1ayiMQ4	lodging|point_of_interest|establishment	53.3512967	-6.255515099999999	False		lodging
1	Amberley House	ChIJgVtZpogOZ0gRV-efHjGekbU	lodging|point_of_interest|establishment	53.351339	-6.255083099999999	True		lodging
2	Hazelbrook Lodge	ChIJzybCdrQPZ0gRd1oEiCQ8WME	lodging|point_of_interest|establishment	53.35171429999999	-6.254949			lodging
3	Georgian Grand Apartment|	ChIJ4S5dJYYPZ0gRYWMAvU1t0L4	lodging|point_of_interest|establishment	53.3507514	-6.2554132			lodging
4	Abrahams Hostel	ChIJA1pHr4gOZ0gRFLokG1iGqcs	lodging|point_of_interest|establishment	53.351595	-6.254804799999999	True		lodging
5	Talbot News / Cardijn House	ChIJV3UIVo8OZ0gRso-Z-w8VedQ	lodging|point_of_interest|establishment	53.35071740000001	-6.2553935			lodging
6	hotel	ChIJ2RSaEM8PZ0gRzC_GIipOMwk	lodging|point_of_interest|establishment	53.35164140000001	-6.254777899999999			lodging
7	Hotel The Glen Guesthouse Dublin	ChIJGzAfrogOZ0gRhwzkGSihOUk	lodging|point_of_interest|establishment	53.3516554	-6.2547598	True		lodging
8	Lombard Townhouse - Bed & Breakfast Dublin	ChIJqUG8RI8OZ0gRFMW6IYHEMoE	lodging|point_of_interest|establishment	53.3509578	-6.254844400000001			lodging
9	Backpackers D1Hostel	ChIJ541Gr4gOZ0gRP1lmpmTbmWg	lodging|point_of_interest|establishment	53.35145389999999	-6.2546501			lodging
10	Hazelbrook House	ChIJZ7D_n4gOZ0gRuOeapKCRpaY	lodging|point_of_interest|establishment	53.3517819	-6.2548224			lodging
11	Avondale Guesthouse	ChIJ7d4_Uo8OZ0gRhD7xMblHRUg	lodging|point_of_interest|establishment	53.3509259	-6.2548264			lodging
12	Abbott Lodge	ChIJR0iQr4gOZ0gRVM8_YQktE6k	lodging|point_of_interest|establishment	53.3518798	-6.254900600000001			lodging
13	My Place	ChIJOcCgpYgOZ0gRpiQvX9bfZ3Y	lodging|point_of_interest|establishment	53.35193970000001	-6.2549587			lodging
14	Browns Hostel	ChIJdXI5pYgOZ0gRcHztS3f0AXA	lodging|point_of_interest|establishment	53.3519624	-6.2549511			lodging
15	nuit 24.12	ChIJOwsTydIPZ0gR0Hl8yDWVXd0	lodging|point_of_interest|establishment	53.35176549999999	-6.254636500000001			lodging
16	Gardiner Lodge	ChIJbUvXTI8OZ0gRTKfTI4CHF6A	lodging|point_of_interest|establishment	53.351172	-6.2544517	True		lodging
17	The Holyhead	ChIJSdI8To8OZ0gRpAgMNw_k1Eg	lodging|point_of_interest|establishment	53.3508484	-6.254677300000001	True		lodging
18	Othello Guesthouse B&B	ChIJa3kbTY8OZ0gRwOvvxGtjUjk	lodging|point_of_interest|establishment	53.3511126	-6.254398599999999			lodging
19	Celtic Lodge Guest House	ChIJ14pQUI8OZ0gRot1QwKZoedM	lodging|point_of_interest|establishment	53.3504921	-6.255235899999999	False		lodging
20	Durban Residence - B&B Dublin	ChIJQ9tST48OZ0gRTeLFTzIx6rQ	lodging|point_of_interest|establishment	53.35069679999999	-6.2541758	True	Gardiner Street Lower Gardiner Street Lower, Mountjoy, Dublin 1, D01 FH28	lodging
21	Dublin Central Inn	ChIJH7mZ74UOZ0gR18_0NXlyw8A	lodging|point_of_interest|establishment	53.3500563	-6.256736399999999		95-98 Talbot St, North City, Dublin 1, D01 HR68	lodging
22	Globetrotters Tourist Hostel	ChIJZTU-RI8OZ0gRmwZ7UTJFaEw	lodging|point_of_interest|establishment	53.3502556	-6.2544014		48 Gardiner Street Lower, North City, Dublin 1	lodging
23	The Townhouse Hotel	ChIJZTU-RI8OZ0gRXm4618R2ZqI	lodging|point_of_interest|establishment	53.3501651	-6.2542139		46/48 Gardiner Street Lower, North City, Dublin	lodging
24	Beresford Hotel IFSC	ChIJyQ9lII8OZ0gRqFm_Moc2OuE	cafe|lodging|restaurant|food|point_of_interest|establishment	53.350088	-6.2527591	True	21 Store St, North Dock, Dublin, D01 T9R2	lodging
