	name	place_id	price_level	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Tesco Metro	ChIJs7B7P80NZ0gR0cuxfNxvnE8	1.0	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3560906	-6.2868565	False		supermarket
1	Saver Express : Convenience Store	ChIJNzxHnUoMZ0gR6w_dy7kaEno		supermarket|grocery_or_supermarket|cafe|food|point_of_interest|store|establishment	53.3523544	-6.2981474	False		supermarket
2	Lidl	ChIJdfmo-4gNZ0gRaYgWIS5zC5M		grocery_or_supermarket|supermarket|food|point_of_interest|store|establishment	53.35063840000001	-6.278937900000001	False		supermarket
3	Marks and Spencer	ChIJ-3Zy_zYMZ0gRYsVNNGtOzr0	2.0	supermarket|department_store|convenience_store|grocery_or_supermarket|food|point_of_interest|clothing_store|store|establishment	53.34642720000001	-6.294218600000001	False		supermarket
4	Lidl Cabra East	ChIJTcQVUcwNZ0gRrn5KBBmmmNk		grocery_or_supermarket|supermarket|food|point_of_interest|store|establishment	53.3580216	-6.289279700000001	False		supermarket
5	Fresh Opportunities Limited	ChIJA_19oy4MZ0gRAyQGgSAPjEU		supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3494651	-6.2775921	False		supermarket
6	SuperValu Kilmainham	ChIJbbbb4ZQNZ0gRyjDBZaxkWCg		supermarket|bakery|grocery_or_supermarket|liquor_store|food|point_of_interest|store|establishment	53.3446556	-6.2968948	False		supermarket
7	SPAR	ChIJad0gTp0OZ0gRMy3Y65gqyKU	1.0	convenience_store|supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3431703	-6.2804157	False		supermarket
8	Lidl	ChIJw88IQCUMZ0gRvqvhprn2gGs		grocery_or_supermarket|supermarket|food|point_of_interest|store|establishment	53.3432239	-6.280260200000001	False		supermarket
9	Tesco Express	ChIJTYvnDiUMZ0gRQ8MiBm6cdSQ	1.0	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3426372	-6.278583299999998	False		supermarket
10	C & N Meats Ltd	ChIJ9W2QHCUMZ0gRtbQ2Uc60_Js		supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment	53.342152	-6.2791826	False		supermarket
11	Mediterranean Food Market	ChIJSWDKpSUMZ0gR2QQvkHbo2RU		supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment	53.34255779999999	-6.277592799999999	False		supermarket
12	Noor Madina Foods	ChIJqWLQwCkMZ0gR2DJxO4UfXq4		supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3487315	-6.2705225	False		supermarket
13	Tesco Superstore	ChIJl5Te4skNZ0gRvCE1nLIfuaM	1.0	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3604932	-6.2996048	False		supermarket
