	name	place_id	types	geometry.location.lat	geometry.location.lng	price_level	opening_hours.open_now	formatted_address	main_type
1	Tea room	ChIJa-8lZz4PZ0gRtTKhghvISH4	cafe|food|point_of_interest|establishment	53.3547139	-6.263455799999999				cafe
2	Candy Cafe	ChIJG8a7yoAOZ0gRJOCWzVwdpWE	cafe|restaurant|food|point_of_interest|store|establishment	53.3547139	-6.263455799999999	1.0	False		cafe
3	Cafe Rotunda	ChIJr9V-OoEOZ0gRs14Su45R1j8	cafe|food|point_of_interest|establishment	53.3525608	-6.2638216		False		cafe
4	Lily's Café & Restaurant	ChIJH2Qx3YYOZ0gR9WKJO4VmC5Y	cafe|restaurant|food|point_of_interest|establishment	53.3529008	-6.2613945	2.0	False		cafe
5	Cobalt Cafe & Gallery	ChIJ_S0NqZ0OZ0gR3NtT5BirlL4	cafe|food|point_of_interest|establishment	53.3543249	-6.2607514		False		cafe
6	Tom, Dick & Harriet's	ChIJEXychJkPZ0gRmhIWk5y1QqU	cafe|lodging|food|point_of_interest|establishment	53.3556834	-6.2657443		False		cafe
7	Ea-Tea Coffee & Bubble Tea Bar	ChIJLzjPVYYOZ0gRYcBD85lXXyM	cafe|food|point_of_interest|establishment	53.35308790000001	-6.2607522	1.0	False		cafe
8	ACE Catering and Cleaning	ChIJ30EU6oYOZ0gRECgl4Lf4NH8	meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment	53.352487	-6.261064399999999		True		cafe
9	Esquires Coffee (Findlater House)	ChIJ6yXr3ssPZ0gRarfWM2ClfKs	cafe|restaurant|food|point_of_interest|store|establishment	53.3521874	-6.260911299999999	2.0	False		cafe
10	La Pausa Caffe	ChIJjXnjIX4OZ0gR6IbdT6qpRkw	cafe|food|point_of_interest|establishment	53.3562543	-6.265462899999999	1.0	False		cafe
11	Wing's Gourmet Burger	ChIJFyLHpIYOZ0gRu4qYhkKusaA	cafe|restaurant|food|point_of_interest|establishment	53.35154260000001	-6.261379900000001	1.0	False		cafe
12	Koffee and Kale	ChIJb9nLoYcOZ0gR9GL2bZHnKWA	cafe|food|point_of_interest|establishment	53.35577499999999	-6.260709400000001	2.0	False		cafe
13	Muse Cafe @Eason	ChIJr_5vo4YOZ0gRhFEy-CkLkWY	cafe|food|point_of_interest|establishment	53.35144909999999	-6.261382399999999				cafe
14	WIN Bubble Tea Dublin	ChIJR5PVeEMPZ0gRLm70aJNscF0	cafe|food|point_of_interest|establishment	53.3513853	-6.261474300000001		False		cafe
15	Declan & Donal's Deli	ChIJDbJWyYEOZ0gRWkqFCrvkoAw	cafe|food|point_of_interest|store|establishment	53.3528075	-6.268666799999999	1.0	False		cafe
16	Chai cafe	ChIJMTjv47EPZ0gRQHP5gC5NjxQ	cafe|food|point_of_interest|establishment	53.35674729999999	-6.2642784		False		cafe
17	Blas Cafe	ChIJIT1XkoEOZ0gRM0FRqgIK00E	cafe|food|point_of_interest|establishment	53.3513707	-6.2674433	1.0	False		cafe
18	The HUB Café	ChIJO1J4Vn8PZ0gR5FD-u1odTm4	cafe|food|point_of_interest|store|establishment	53.3510609	-6.266717799999999		False		cafe
19	The Chocolate Factory Art	ChIJ45q5k4EOZ0gRq0gRx18-Odw	cafe|food|gym|health|point_of_interest|establishment	53.3513883	-6.267641100000001		False		cafe
20	Bleecker Street Cafe Bar	ChIJkQxwCn4OZ0gRtI4y2o08FuA	bar|cafe|restaurant|food|point_of_interest|establishment	53.3571801	-6.2639138	2.0	False	68 Dorset Street Upper, Rotunda, Dublin 1, D01 KT22	cafe
