	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	price_level	formatted_address	main_type
0	Guinness's Porter Stout Ale Porter Liquor Tea Coffee & Wine	ChIJQS34KIAOZ0gRc0zLPR9ls0s	liquor_store|cafe|food|point_of_interest|store|establishment	53.3536072	-6.2696999				liquor_store
1	WINEWONDERLAND Ltd.	ChIJ3ZhxRP8PZ0gRmFhwjDpeH2I	liquor_store|food|point_of_interest|store|establishment	53.354915	-6.268360299999999				liquor_store
2	Centra North King Street	ChIJJ51yBSoMZ0gRR6S_CG9Ir3U	convenience_store|atm|finance|liquor_store|food|point_of_interest|store|establishment	53.3507443	-6.2708726	True			liquor_store
3	Little Italy	ChIJ6UoCrC4MZ0gRKu7sgxPDYpo	grocery_or_supermarket|liquor_store|food|point_of_interest|store|establishment	53.3497445	-6.276302799999999	False			liquor_store
4	Centra Capel Street	ChIJyxVneYIOZ0gRU3XhBIJuv28	convenience_store|atm|finance|liquor_store|food|point_of_interest|store|establishment	53.3487927	-6.269100199999999	False			liquor_store
5	Centra Parnell Street	ChIJz9JEWYEOZ0gRayyKaCxIkGQ	convenience_store|atm|meal_takeaway|finance|liquor_store|restaurant|food|point_of_interest|store|establishment	53.3511829	-6.2636618	False			liquor_store
6	Centra Stoneybatter	ChIJoyKawi0MZ0gRDe8DFvuxOyM	convenience_store|atm|meal_takeaway|finance|liquor_store|restaurant|food|point_of_interest|store|establishment	53.3507249	-6.281865599999999	True			liquor_store
7	Wasabi Market	ChIJ-0wmlZEPZ0gRLcpWe8d5Vc0	liquor_store|point_of_interest|store|establishment	53.3576342	-6.263383200000001	False			liquor_store
8	DrinkStore	ChIJ7xniji0MZ0gRee5pbSVKJXc	liquor_store|food|point_of_interest|store|establishment	53.3515161	-6.283288499999999	False			liquor_store
9	Parnell Street Off Licence	ChIJV359JpsPZ0gR4QSnI4QNcA4	liquor_store|point_of_interest|store|establishment	53.35364999999999	-6.2593998	False			liquor_store
10	The Big Romance	ChIJufegxdgPZ0gR3Nnd6keYlJs	bar|liquor_store|point_of_interest|store|establishment	53.3534114	-6.259193799999999	False	2.0		liquor_store
11	Delivery in Dublin	ChIJu7Fhzy4NZ0gREYgJs4CnkRA	liquor_store|point_of_interest|store|establishment	53.3460034	-6.2711389	True			liquor_store
12	Tesco Off Licence	ChIJseC6GtYNZ0gRmYz_t-S1r3k	liquor_store|point_of_interest|store|establishment	53.3616763	-6.273002	False	1.0		liquor_store
13	Wines Direct	ChIJb-XYnIMOZ0gRZ-sUQiGdCeY	liquor_store|food|point_of_interest|store|establishment	53.348237	-6.262888999999999	False			liquor_store
14	Centra Cathal Brugha Street	ChIJ9d2bXoYOZ0gRdXRjWaqUZ6Y	convenience_store|liquor_store|food|point_of_interest|store|establishment	53.3525186	-6.2590582	False			liquor_store
15	Gifts Direct	ChIJKd_oUBkPZ0gR_Iaeiv-lj9U	liquor_store|food|point_of_interest|clothing_store|store|establishment	53.35023349999999	-6.2600664	False			liquor_store
