	name	place_id	types	geometry.location.lat	geometry.location.lng	price_level	opening_hours.open_now	formatted_address	main_type
0	Hyne's Bar	ChIJZ75DzzIMZ0gRrucfZITc94s	bar|point_of_interest|establishment	53.3552834	-6.287503600000001				bar
1	Kavanaghs Pub	ChIJqZyVlDIMZ0gRUtk1VodpVVE	bar|point_of_interest|establishment	53.3533537	-6.2858695	1.0	False		bar
2	Clarkes City Arms	ChIJfXz0Ic0NZ0gRb4J4h5LNT8w	bar|point_of_interest|establishment	53.35622559999999	-6.288187300000001	1.0	False		bar
3	Grainger's Hanlon's Corner	ChIJpV7I_8wNZ0gR0sYnif0cuP4	bar|restaurant|food|point_of_interest|establishment	53.3573985	-6.2887529	2.0	False		bar
4	Tommy O’Gara’s	ChIJbcNH6y0MZ0gRreZHLJI084M	bar|restaurant|food|point_of_interest|establishment	53.35105600000001	-6.282432600000001	1.0	False		bar
5	L. Mulligan Grocer	ChIJMYBu6y0MZ0gRQcjM4SZg8PM	bar|restaurant|food|point_of_interest|establishment	53.350998	-6.2823102	2.0	False		bar
6	The Glimmer Man	ChIJ-8Y56i0MZ0gRNPQ2Fr_nuE4	bar|restaurant|food|point_of_interest|establishment	53.3508467	-6.282031799999999	1.0	False		bar
7	The Belfry Stoneybatter	ChIJaVEs5i0MZ0gR7BcPO8AcJk8	bar|point_of_interest|establishment	53.3504086	-6.282007800000001	2.0	False		bar
8	Walsh's	ChIJlUBi7C0MZ0gRBKaVy1vPoWk	bar|point_of_interest|establishment	53.3503765	-6.281689200000001	1.0	False		bar
9	The Barbers Bar	ChIJUaQvTiwMZ0gRixWtZ9v4Mx4	bar|restaurant|food|point_of_interest|establishment	53.3521221	-6.2798127	1.0	False		bar
10	Iveagh Bar	ChIJacRPtjYMZ0gRs6Tadsajcts	bar|restaurant|food|point_of_interest|establishment	53.34807540000001	-6.290640099999999		False		bar
11	P. Duggan's	ChIJvUHdkjYMZ0gRnBGKRbiyeSU	bar|restaurant|food|point_of_interest|establishment	53.3481564	-6.2932568	1.0	False		bar
12	Ryan's of Parkgate Street	ChIJ4yIKijYMZ0gREJHzkabj-wY	bar|restaurant|food|point_of_interest|establishment	53.3481667	-6.2935959	2.0	False		bar
13	Nancy Hands Bar & Restaurant	ChIJ0WPWYzYMZ0gROVdf2UYMizc	bar|restaurant|food|point_of_interest|establishment	53.3482267	-6.293976700000001	2.0	True		bar
