	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	price_level	formatted_address	main_type
0	Casa Guga e Ingrid	ChIJGYVTzB0PZ0gRP7muYuTBpH0	bar|point_of_interest|establishment	53.3563522	-6.247307699999999	False			bar
4	Cusack's	ChIJuYJO-V8OZ0gRDJFcwOPZre0	bar|point_of_interest|establishment	53.3575154	-6.242467300000001	False	1.0		bar
5	Lloyd's Bar & Lounge	ChIJU9eHXokOZ0gRTORYqIhdUyM	bar|restaurant|food|point_of_interest|establishment	53.35269960000002	-6.249106100000001	False	1.0		bar
6	The Ref Pub	ChIJudAoYWAOZ0gRClsW6uti6bw	bar|point_of_interest|establishment	53.3595303	-6.2449448	False			bar
8	Benvindo Restaurant	ChIJTQw1gi0PZ0gRK8HVZ0r-RB4	bar|restaurant|food|point_of_interest|establishment	53.3522906	-6.249563900000001	False			bar
9	Cleary's Pub	ChIJ0zKoWokOZ0gRiMG4YfePcXA	bar|point_of_interest|establishment	53.35218279999999	-6.2497095	False	1.0		bar
10	James Gill's Corner House	ChIJv2MB8WIOZ0gRnW80d7cmxTw	bar|point_of_interest|establishment	53.35846	-6.254273899999999	False	2.0		bar
11	The Address Connolly	ChIJq278S4kOZ0gRS42i__LaB4w	lodging|bar|restaurant|food|point_of_interest|establishment	53.3517733	-6.250032999999999	True			bar
12	McGettigan's Cookhouse & Bar	ChIJB8ycS4kOZ0gR3Y0qvQ6w58E	bar|restaurant|food|point_of_interest|establishment	53.3516889	-6.250104400000001	False	2.0		bar
15	Grainger's Cafe Bar	ChIJg-AutI4OZ0gRw8d1iUjjq0A	cafe|bar|restaurant|food|point_of_interest|establishment	53.3513038	-6.250324	False	2.0		bar
16	Phil Ryan's Hogan Stand	ChIJv29-xGIOZ0gRKH2xZCYfa7U	bar|point_of_interest|establishment	53.35840489999999	-6.255940799999999	False	1.0		bar
17	Annesley House	ChIJYQE6r18OZ0gRRuyl379FmsI	bar|point_of_interest|establishment	53.3596391	-6.2403202	False	1.0		bar
22	Ryan's Bar	ChIJzeeBPI8OZ0gRQ696vb_3d_A	bar|restaurant|food|point_of_interest|establishment	53.3503066	-6.252816999999999	False	2.0	19 Store St, Mountjoy, Dublin 1, D01 NY02	bar
