	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	price_level	formatted_address	main_type
0	The Be d Gallery	ChIJa7ysOsYNZ0gRRc2rDzGqNJk	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3589633	-6.27335	False			furniture_store
1	DL Woodwork	ChIJ49XxPtQNZ0gR0f33vsvtkP8	furniture_store|home_goods_store|point_of_interest|store|establishment	53.35975000000001	-6.276610400000001	False			furniture_store
2	Dalymount interiors	ChIJE_PsKdQNZ0gRpx8ksD-MXj4	furniture_store|home_goods_store|point_of_interest|store|establishment	53.361446	-6.275916	False			furniture_store
4	Attic & Bizou	ChIJIz1XkoEOZ0gR4xKFzhh0s3s	furniture_store|home_goods_store|point_of_interest|store|establishment	53.35133319999999	-6.267675299999998	False			furniture_store
5	Parnell Upholstery	ChIJvwH1BYIOZ0gRsrOQylIgvQM	furniture_store|home_goods_store|point_of_interest|store|establishment	53.34978979999999	-6.268789099999999	False			furniture_store
6	Brian Clifford Antiques	ChIJQ-LgD4IOZ0gRqTrAXSUqhwE	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3497226	-6.268446299999999	False			furniture_store
7	Capel Market	ChIJfbEL4CkMZ0gRw0cXy4liLQw	furniture_store|home_goods_store|point_of_interest|store|establishment	53.349091	-6.2692554	False			furniture_store
8	Argos Ilac Centre (Dublin)	ChIJrxbk3IMOZ0gRr_atohQddkU	department_store|jewelry_store|electronics_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.35044440000001	-6.264601100000001	False	2.0		furniture_store
9	Des Kelly Interiors	ChIJfxXCdngOZ0gR3M7mDa6vXaw	furniture_store|home_goods_store|general_contractor|point_of_interest|store|establishment	53.3646504	-6.272174100000001	False			furniture_store
10	Vintage Dublin - Antiques and Interiors Showroom Visits By Appointment	ChIJMz_je4IOZ0gRDDgL3OnBlRY	furniture_store|home_goods_store|general_contractor|point_of_interest|store|establishment	53.3481506	-6.268489400000001	False			furniture_store
11	Brereton Office Furniture	ChIJKUw_wYcOZ0gRZhNu_XUQ8V4	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3546983	-6.258152900000001	False			furniture_store
12	Tadhg O'Sullivan Furniture	ChIJwbnU9i0MZ0gR2v1HKluKHE0	furniture_store|home_goods_store|point_of_interest|store|establishment	53.35056599999999	-6.283130999999999				furniture_store
13	Argos Dublin Jervis Street	ChIJp5v9-YIOZ0gRmnQDxNDR7nc	department_store|jewelry_store|electronics_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.34823779999999	-6.2661793	False	2.0		furniture_store
14	Mamas & Papas Dublin (Arnotts Department Store)	ChIJ2eIdl88PZ0gRwZO-FYNZw88	furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.34914130000001	-6.2631303	False			furniture_store
15	Arnotts	ChIJ9wcNE4QOZ0gRfvZo4ZTxlOU	department_store|shoe_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.3491377	-6.2631308	False			furniture_store
16	Radius Office	ChIJPwF6zTIMZ0gRzmVT-8mMjkk	furniture_store|home_goods_store|point_of_interest|store|establishment	53.35584349999999	-6.287521400000001	True			furniture_store
17	BoConcept Arnotts	ChIJ1fH3ZREPZ0gR4i61euH59Mo	furniture_store|home_goods_store|general_contractor|point_of_interest|store|establishment	53.3496573	-6.261059	False			furniture_store
18	Mark 1 Upholstery	ChIJ-0aPqc0NZ0gRckFO5dhokx0	furniture_store|home_goods_store|point_of_interest|store|establishment	53.35931590000001	-6.287450599999999	False			furniture_store
19	Bargaintown	ChIJSWG3sy8MZ0gRX7yQV0c1kqs	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3475111	-6.281194200000001	False			furniture_store
20	Home Stores	ChIJI4CFNo8OZ0gRZkXbyv7tDHM	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3509581	-6.2535452	False		22 Talbot St, Mountjoy, Dublin 1, D01 DW02	furniture_store
21	Finestyle Furniture	ChIJFcdDfToMZ0gR60E32FJsR3g	furniture_store|home_goods_store|point_of_interest|store|establishment	53.34283120000001	-6.2765219	False		74 Thomas St, The Liberties, Dublin 8, D08 WK64	furniture_store
22	Pieces.ie	ChIJQbipTiQPZ0gRy2Vk-iAwd2g	furniture_store|home_goods_store|point_of_interest|store|establishment	53.343224	-6.2641833	False		14 South Great George's Street, Dublin, D02 NP63	furniture_store
23	Design KNB - Designer Furniture Store	ChIJX2lVm20PZ0gRMlsAF2mfBvU	furniture_store|home_goods_store|point_of_interest|store|establishment	53.36713469999999	-6.255872699999999	True		Glenarm Ave, Botanic, Dublin 9, D09 F977	furniture_store
24	Des Higginbotham Interiors	ChIJB_Zxcl4OZ0gRolQbUfJazdM	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3620625	-6.2419502	False		92 Fairview Strand, Ballybough, Dublin, D03 K7X8	furniture_store
25	Decor	ChIJSabE0Z8OZ0gRDIfec9tW478	furniture_store|art_gallery|home_goods_store|point_of_interest|store|establishment	53.3368681	-6.2653589	False		14 Wexford St, Dublin, D02 E048	furniture_store
26	Bargaintown	ChIJG46bKMMNZ0gRFg6ppjanVFQ	furniture_store|home_goods_store|point_of_interest|store|establishment	53.373352	-6.289988	False		Unit 8 Slaney Rd, Dublin Industrial Estate, Dublin, D11 E285	furniture_store
27	Fuse Finds - Vintage & Retro Furniture Design Shop	ChIJ67glfb0OZ0gRSOy4GDp6NrI	furniture_store|home_goods_store|general_contractor|point_of_interest|store|establishment	53.335095	-6.249203	False		Lad Ln, Dublin 2	furniture_store
28	Minima	ChIJISjK0PEMZ0gRVp4R6_YEi_Y	furniture_store|home_goods_store|general_contractor|point_of_interest|store|establishment	53.3440151	-6.234528099999999	False		The Waterfront, Hanover Quay, Dublin Docklands, Dublin	furniture_store
29	Elegant Furniture And Kitchens	ChIJNUh89GgMZ0gRjmWMZZZpKBA	furniture_store|home_goods_store|point_of_interest|store|establishment	53.32929	-6.3048008	False		Sunshine Industrial Estate, 3 Crumlin Rd, Crumlin, Dublin 12, D12 E863	furniture_store
30	Complete Furniture	ChIJTf7MoOGZXUgRVOtGmTameIg	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3877853	-6.2979609	False		11 Main St, Finglas East, Dublin 11, D11 H21V	furniture_store
31	CA Design	ChIJlaEu2-sOZ0gR-OTyXFzFHiE	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3210111	-6.2564569	False		23 Dunville Ave, Ranelagh, Dublin 6, D06 C902	furniture_store
32	Home Street Home	ChIJp-izsA8MZ0gRnV6G09e4BZc	furniture_store|home_goods_store|general_contractor|point_of_interest|store|establishment	53.319622	-6.279033999999999	False		294 Harold's Cross Rd, Harold's Cross, Terenure, Dublin, D6W KH74	furniture_store
33	AH Interiors	ChIJv0pIaPENZ0gRmT07mPPCWt8	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3907699	-6.2985348	False		McKee Ave, Finglas, Dublin	furniture_store
34	Wow Interiors	ChIJicu5zXcMZ0gR9mqShQ6UK5I	furniture_store|home_goods_store|point_of_interest|store|establishment	53.31808059999999	-6.3003168	False		388 Clonard Road, Kimmage, Dublin, D12 K2K8	furniture_store
35	Room To Room Furniture	ChIJncry9eMRZ0gRaYmLXDOIsNc	furniture_store|home_goods_store|point_of_interest|store|establishment	53.40495199999999	-6.262292	False		Unit C4 Gullivers Retail Park, Santry, Dublin 9	furniture_store
