	name	place_id	types	geometry.location.lat	geometry.location.lng	price_level	opening_hours.open_now	formatted_address	main_type
0	New Plaza	ChIJ7wTIYmAOZ0gRWWVOdnwZLkA	meal_takeaway|restaurant|food|point_of_interest|establishment	53.3597776	-6.2444097				restaurant
1	New Plaza Chinese Takeaway	ChIJOYlniGAOZ0gRBihvrPWjm1c	meal_takeaway|restaurant|food|point_of_interest|establishment	53.3597953	-6.244488899999999	1.0	False		restaurant
2	Antonio's Fish & Chips Fairview	ChIJ2SMQh2AOZ0gRi__4bQS2bUg	meal_takeaway|restaurant|food|point_of_interest|establishment	53.35999940000001	-6.244131899999999		False		restaurant
4	Mr Kebab	ChIJ4YU4RWAOZ0gRiMB0UKGuhZk	restaurant|food|point_of_interest|establishment	53.3590457	-6.2458056		False		restaurant
5	Da Mimmo	ChIJ21Xt_18OZ0gR04xMPZPrLV0	restaurant|food|point_of_interest|establishment	53.3573913	-6.242622899999999	2.0	False		restaurant
6	Sushi Soul	ChIJb802egoPZ0gRE6BWMwHoHho	restaurant|food|point_of_interest|establishment	53.3574059	-6.242245800000001		False		restaurant
7	Braza Burger	ChIJ97xcP1YPZ0gRzwdFHI6WVVk	restaurant|food|point_of_interest|establishment	53.3573776	-6.242268500000001				restaurant
8	Fragrant River	ChIJDX_Tul8OZ0gRcMMEENG86GE	meal_takeaway|restaurant|food|point_of_interest|establishment	53.3592804	-6.2408244	1.0	False		restaurant
9	Okayu	ChIJD94kql8OZ0gRHyBWkaMj78k	meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment	53.35972599999999	-6.240211		False		restaurant
10	Max’s takeaway	ChIJF9TzVikPZ0gREFqsoQlgJ_Y	restaurant|food|point_of_interest|establishment	53.3610744	-6.2427666	1.0	False		restaurant
11	Lin Kee	ChIJj859AF8OZ0gRJJtG6Qm8-AU	meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment	53.359935	-6.240049	1.0	False		restaurant
12	Indian Taste Dublin	ChIJpSu8nGAOZ0gRSRvKgMOAbzo	restaurant|food|point_of_interest|establishment	53.3579175	-6.247682899999999	2.0	True		restaurant
13	Long Thanh Chinese	ChIJ0cTl9YoOZ0gR0o4TOo0Mmfw	meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment	53.355446	-6.246016300000001	1.0	False		restaurant
14	Luigis Takeaway	ChIJ6154kV8OZ0gRNjKqRKaKc-U	restaurant|food|point_of_interest|establishment	53.3552976	-6.246266899999999		False		restaurant
15	Zam Zam Dublin1	ChIJs4hmVToPZ0gRDwb4f-OghJ0	meal_takeaway|restaurant|food|point_of_interest|establishment	53.3570249	-6.249408499999999				restaurant
16	Nico Fairview	ChIJ-TezdV4OZ0gRYDeTuUh2F0s	meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment	53.3625736	-6.242055699999999	1.0	False		restaurant
17	Tasty Garden	ChIJpZYZ4F0OZ0gR2nESzri48io	restaurant|meal_delivery|meal_takeaway|food|point_of_interest|establishment	53.36271259999999	-6.242486100000001		False		restaurant
18	Apart-Hotel Dublin City	ChIJdW7F5DwPZ0gR8zXwCtSqZwI	meal_takeaway|restaurant|food|point_of_interest|establishment	53.3544762	-6.245977799999999				restaurant
19	Apart-Hotel Dublin City	ChIJZwdCYEAPZ0gRQv2hI9edQdw	meal_takeaway|restaurant|food|point_of_interest|establishment	53.3544762	-6.245977799999999		True		restaurant
20	Johnson Best Food African Takeaway	ChIJZ-eU3YkOZ0gR9hpQVIDNePU	restaurant|food|point_of_interest|establishment	53.3563187	-6.25156	1.0	False	86 Summerhill, Mountjoy, Dublin 1, D01 XY96	restaurant
21	Tuk Asian Street Food	ChIJo49C3lsOZ0gRY7-sFRfNWXM	meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment	53.362837	-6.237353	2.0	False	9 Fairview Strand, Dublin, D03 R242	restaurant
22	Kennedy's Food Store Fairview	ChIJN_kqq14OZ0gRhWbjtetjk5Q	cafe|restaurant|food|point_of_interest|establishment	53.362863	-6.237181199999999	1.0	False	5 Fairview Strand, Dublin 3, D03 W5H0	restaurant
24	Wallace’s Asti	ChIJOeqg-2IOZ0gRAreGjuBGphw	meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment	53.35885769999999	-6.254601099999999	2.0	False	15 Russell St, Drumcondra, Dublin 1, D01 VW02	restaurant
25	Benvindo Restaurant	ChIJTQw1gi0PZ0gRK8HVZ0r-RB4	bar|restaurant|food|point_of_interest|establishment	53.3522906	-6.249563900000001		False	39 Amiens St, Mountjoy, Dublin 1, D01 TR70	restaurant
26	McGettigan's Cookhouse & Bar	ChIJB8ycS4kOZ0gR3Y0qvQ6w58E	bar|restaurant|food|point_of_interest|establishment	53.3516889	-6.2501044	2.0	False	1 Amiens St, Mountjoy, Dublin	restaurant
27	Fasta	ChIJreuy5JkPZ0gRyzDudqRKdVA	restaurant|food|point_of_interest|establishment	53.3512766	-6.2492937		False	Connolly train station, North Dock, Dublin, D01 V6V6	restaurant
28	Nana's Restaurant African Cuisine	ChIJFZRbY6MPZ0gRLZQB4EcKwG8	restaurant|food|point_of_interest|establishment	53.3588605	-6.2577652		False	482B N Circular Rd, Mountjoy, Dublin 1, D01 P205	restaurant
30	Thai Spice	ChIJ0yfZ2I4OZ0gR7fNEJrUe0-0	restaurant|food|point_of_interest|establishment	53.35101119999999	-6.2511931	1.0	False	3A Talbot Pl, Mountjoy, Dublin 1, D01 R3W9	restaurant
31	One Society	ChIJ8XAo-2sPZ0gRp9_TXPpsRcA	restaurant|cafe|food|point_of_interest|store|establishment	53.3540899	-6.256557	2.0	False	1 lower gardiner street, Mountjoy, Dublin 1	restaurant
32	Musashi IFSC Noodle & Sushi bar	ChIJFWWY5YwOZ0gR1R9uA9-D-oA	meal_takeaway|restaurant|food|point_of_interest|establishment	53.34962909999999	-6.2433618	2.0	False	Custom House Square, Unit 2, Burton Hall, Mayor Street Lower, International Financial Services Centre, Dublin 1, D01 W6F2	restaurant
33	Salsa - Authentic Mexican Food	ChIJT6J4MSIPZ0gRVJUCr5G6TUs	restaurant|food|point_of_interest|establishment	53.3495899	-6.2433244	1.0	False	Custom House Square, Mayor Street Lower, International Financial Services Centre, Dublin	restaurant
34	Drunken Fish	ChIJ4e3T_YwOZ0gRG847Xnaiap0	restaurant|food|point_of_interest|establishment	53.3491463	-6.2439578	2.0	False	The Excise Building, Mayor Street Lower, North Dock, Dublin 1	restaurant
35	Urban Brewing & Stack A Restaurant	ChIJp42hgY4OZ0gRtQv7KdqZHAo	bar|liquor_store|restaurant|food|point_of_interest|store|establishment	53.34907519999999	-6.2482662	2.0	False	Vault C, CHQ Building, Custom House Quay, Dublin	restaurant
36	Brams Cafe	ChIJd7PHmFAOZ0gRXSwW0Xd_OYk	cafe|restaurant|food|point_of_interest|store|establishment	53.3647535	-6.230135799999999	1.0	False	St Aidan's Park Rd, Dublin 3, D03 X754	restaurant
37	Cafe le Monde	ChIJbYCqIY8OZ0gRej_zBVj1_60	restaurant|food|point_of_interest|establishment	53.3502254	-6.2527461			Beresford Hotel, Store Street, Dublin	restaurant
