	name	place_id	price_level	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Hertz Car Sales	ChIJL9DsEtQNZ0gRm70IDC7HBUs	2.0	car_dealer|point_of_interest|store|establishment	53.35978110000001	-6.277706700000001	False		car_dealer
1	Bright Ford Phibsborough	ChIJPdYz9tMNZ0gRVTE5-bISPFU		car_dealer|point_of_interest|store|establishment	53.3600135	-6.278857700000001	False		car_dealer
2	Wellington Cars	ChIJn6iFDCEGZ0gR33o-wf0GSZ0		car_dealer|point_of_interest|store|establishment	53.355965	-6.2670345	False		car_dealer
3	Montpellier Motors Ltd	ChIJRfw1iRoNZ0gRCw_00WmVwrM		finance|car_dealer|point_of_interest|store|establishment	53.3580158	-6.2813011	False		car_dealer
4	McKenna O'neill	ChIJCYMBvyoMZ0gR0jZY9ZbQ49A		car_dealer|point_of_interest|store|establishment	53.3545482	-6.271946	False		car_dealer
5	BRD motors	ChIJtx4UPM0NZ0gREBeySggsRbs		car_dealer|point_of_interest|store|establishment	53.355994	-6.287097000000001	False		car_dealer
6	Prospect Motors	ChIJVRO8YGUOZ0gRNbf1lNN4YM0		car_dealer|point_of_interest|store|establishment	53.3669472	-6.257576200000001	False		car_dealer
7	E.T.S. scammers	ChIJqQO3HmIOZ0gRk_4PD7o4v8A		car_dealer|point_of_interest|store|establishment	53.3579002	-6.2505308			car_dealer
8	WesternLHD	ChIJGSM2KYcOZ0gRPeozeSoB6GM		car_dealer|point_of_interest|store|establishment	53.3470357	-6.268857599999999	False		car_dealer
9	Premium Automotive	ChIJrwIr9LoPZ0gRZ2kI2a9ItPc		car_dealer|point_of_interest|store|establishment	53.3581003	-6.2479726	False		car_dealer
10	Cameron Cars	ChIJO8MASsMNZ0gRazwTcDl-ITs		car_dealer|point_of_interest|store|establishment	53.37254249999999	-6.2886288	False		car_dealer
11	Carole Nash Insurance Consultants	ChIJBXPUL4kOZ0gRFXkj13Ztp7A		insurance_agency|car_dealer|point_of_interest|store|establishment	53.3519152	-6.2508812	False		car_dealer
12	QuitutesdaGui	ChIJg3UBCycPZ0gR5ESmHJsrsAo		car_dealer|point_of_interest|store|establishment	53.35452599999999	-6.248076799999999	True		car_dealer
13	Cash for cars Dublin	ChIJey0VamcOZ0gRGzbuDurfBnQ		car_dealer|point_of_interest|store|establishment	53.36459259999999	-6.2456341	False		car_dealer
14	German Auto	ChIJW0v8YGcOZ0gRaKBwQx7c_y8		car_dealer|car_repair|point_of_interest|store|establishment	53.36406900000001	-6.244723899999999	False		car_dealer
15	Hutton & Meade Glasnevin	ChIJ4UYaZKANZ0gRfcpPz9Uc_no		car_dealer|point_of_interest|store|establishment	53.37375159999999	-6.290958799999999	False		car_dealer
16	MSL Park Motors Skoda	ChIJAyDDKrYNZ0gR8bIocg9ct84		car_dealer|point_of_interest|store|establishment	53.3619254	-6.3005854	False		car_dealer
17	MSL Park Motors Mazda	ChIJwVviMrYNZ0gRQm6bXHKIGCA		car_dealer|point_of_interest|store|establishment	53.36209599999999	-6.301018999999999	False		car_dealer
18	Terrific.ie	ChIJbaPpu44PZ0gRewZCvM2tyUo		car_dealer|point_of_interest|store|establishment	53.34582879999999	-6.2585484	False		car_dealer
19	CD Motors	ChIJT6vI7F0OZ0gRkFXl2rnk9nM		car_dealer|point_of_interest|store|establishment	53.36373159999999	-6.243385700000001	False		car_dealer
20	Westbrook Motors - Mitsubishi Car Sales & Service Centre	ChIJ7-n6-YYOZ0gR_rwIeemXOQM		car_dealer|car_repair|point_of_interest|store|establishment	53.348242	-6.292965	False	24 Parkgate St, Stoneybatter, Dublin 8, D08 WF6W	car_dealer
21	Cars Bought For Cash - Cash for Cars Dublin - We Buy Any Car in Ireland - Sell Your Car	ChIJKd9rl5wOZ0gRyK8gzdafZhs		car_dealer|point_of_interest|store|establishment	53.3438106	-6.261885299999999	False	6-9 Trinity St, Dublin 2, D02 EY47	car_dealer
22	Looplow | Car Dealers Dublin	ChIJi8o5JY4OZ0gR3m6KmUou6AQ		car_dealer|point_of_interest|store|establishment	53.3466579	-6.250036499999999	False	Suite 5359 77, 1 Sir John Rogerson's Quay, Dublin Docklands, Dublin	car_dealer
23	JOC Auto Sales	ChIJJwKjfugNZ0gRE6L6WwcdIEk		car_dealer|point_of_interest|store|establishment	53.37888	-6.2903709	False	Finglas Business Park, Unit 4, Tolka Valley Rd, Finglas Rd, Dublin, D11 EH00	car_dealer
