	name	place_id	types	geometry.location.lat	geometry.location.lng	main_type
0	St Joseph's Parade, stop 11	ChIJMSdRCX4OZ0gRxv1dnds0h6s	bus_station|transit_station|point_of_interest|establishment	53.3570923	-6.264411699999999	bus_station
1	Arbour Hill, Prussia Street	ChIJDRlb_cwNZ0gRR1a0X_t03as	bus_station|transit_station|point_of_interest|establishment	53.356918	-6.288591499999999	bus_station
2	Church Street Upper, stop 1614	ChIJmy44ySsMZ0gRL7JGa1JdXK0	bus_station|transit_station|point_of_interest|establishment	53.3511978	-6.2737015	bus_station
3	Drumcondra Rail Stn, stop 17	ChIJmSfDSnsOZ0gRb03ekP3KbDc	bus_station|transit_station|point_of_interest|establishment	53.3629171	-6.258435899999999	bus_station
4	Drumcondra Station, stop 100121	ChIJn0ely2QOZ0gRq0HEOEfo62s	bus_station|transit_station|point_of_interest|establishment	53.3630696	-6.258414699999999	bus_station
5	Rotunda, Parnell Street	ChIJdWzQ5IYOZ0gRxajOykKlqV8	bus_station|transit_station|point_of_interest|establishment	53.3531318	-6.2604724	bus_station
6	Dublin, Cathal Brugha Street	ChIJN2nOjIYOZ0gRDc9twNLZh64	bus_station|transit_station|point_of_interest|establishment	53.3522532	-6.2598923	bus_station
7	St Michan's Church, stop 1616	ChIJ5_2i1ygMZ0gRYB94jBe1Jm8	bus_station|transit_station|point_of_interest|establishment	53.3473225	-6.275078499999998	bus_station
8	Ormond Quay Upper, stop 1480	ChIJdW8MbigMZ0gRqfDilc0PVRo	bus_station|transit_station|point_of_interest|establishment	53.3457605	-6.270842500000001	bus_station
9	Abbey Street, stop 7591	ChIJu4uAooUOZ0gRKruhRgmGUYM	bus_station|transit_station|point_of_interest|establishment	53.3489114	-6.256879299999999	bus_station
10	Moland Street, stop 1184	ChIJgTHsSY8OZ0gRV74Ka-wdVY4	bus_station|transit_station|point_of_interest|establishment	53.3507698	-6.2538992	bus_station
11	Broombridge Station, stop 828	ChIJRefWz8ANZ0gRTPsj-OrqVso	bus_station|transit_station|point_of_interest|establishment	53.3710448	-6.299748699999999	bus_station
12	Heuston Station, Victoria Quay	ChIJKR3B4zYMZ0gR8cWXYkd3Qx8	bus_station|transit_station|point_of_interest|establishment	53.34676579999999	-6.2920335	bus_station
13	Dublin, Clifton Court Hotel	ChIJiewbBIUOZ0gRRHA3IkzuFY4	bus_station|transit_station|point_of_interest|establishment	53.3479612	-6.257844	bus_station
14	Heuston Station	ChIJBSc-4jYMZ0gRLgeyd-RtawI	bus_station|transit_station|point_of_interest|establishment	53.346619	-6.291963000000001	bus_station
15	Broombridge Station, stop 7672	ChIJtfn5HMENZ0gRaa5VUiP4COY	bus_station|transit_station|point_of_interest|establishment	53.3724256	-6.298882100000001	bus_station
16	Eden Quay	ChIJjYvRHoUOZ0gR4EmFayQeNEw	bus_station|transit_station|point_of_interest|establishment	53.348038	-6.256339	bus_station
