	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	main_type
0	Euro Spar.	ChIJ7xFwVBMPZ0gR5JY5xdo4Y4E	shopping_mall|point_of_interest|establishment	53.3644384	-6.230752499999999		shopping_mall
1	Irish Life	ChIJG5ipPnAPZ0gRy-GOSfuhUDc	shopping_mall|point_of_interest|establishment	53.3511765	-6.253072799999998	False	shopping_mall
2	city centet	ChIJLTyKplkPZ0gRMY4xbENxTqQ	shopping_mall|point_of_interest|establishment	53.35095159999999	-6.253749200000001		shopping_mall
3	Dublino	ChIJv9RHPocOZ0gRwPOpxHPHMXg	shopping_mall|point_of_interest|establishment	53.3546269	-6.261827399999999	False	shopping_mall
4	CHQ Dublin	ChIJ0zvFKowOZ0gR5C2GLV36FLM	shopping_mall|food|point_of_interest|establishment	53.34901419999999	-6.2480492	False	shopping_mall
5	Talbot Hall	ChIJvTAW8IUOZ0gRW_72BfU4NjE	shopping_mall|point_of_interest|establishment	53.35036120000001	-6.2562012		shopping_mall
6	Talbot Mall	ChIJlSrIioUOZ0gRdUvA1dvtxrk	shopping_mall|point_of_interest|establishment	53.35001219999999	-6.256174	False	shopping_mall
7	VuThanh	ChIJeUHUB3gPZ0gRZ4mp2BYYrh4	shopping_mall|point_of_interest|establishment	53.34805300000001	-6.242673100000001	True	shopping_mall
8	Monker Town	ChIJ6Ze2mIYOZ0gRgMmkG0O2WUE	shopping_mall|point_of_interest|establishment	53.35124159999999	-6.260778900000001	False	shopping_mall
9	Moore Street Shopping Mall	ChIJGUtzUoEOZ0gRi9AFwJtBQFE	shopping_mall|point_of_interest|establishment	53.3513831	-6.2633375	False	shopping_mall
10	Brown Thomas	ChIJHxomo7IPZ0gRmaCW3BPpl9A	shopping_mall|point_of_interest|establishment	53.3498093	-6.260273900000001		shopping_mall
11	Willie world	ChIJy3AlGEQPZ0gR_qDaSa47QGc	shopping_mall|point_of_interest|establishment	53.3498093	-6.260273900000001		shopping_mall
12	Buds	ChIJHQp3jrgPZ0gRt-6R1lY2QQQ	shopping_mall|point_of_interest|establishment	53.3498092	-6.2602739		shopping_mall
14	Max	ChIJfRIm44MOZ0gRjeviWHXBNxQ	shopping_mall|point_of_interest|establishment	53.3505968	-6.262712499999999	False	shopping_mall
15	Point Square Dublin	ChIJ50BfbvAOZ0gRvDCYaNegrjw	shopping_mall|point_of_interest|establishment	53.34906429999999	-6.2278167	False	shopping_mall
16	Maribar	ChIJTwUksoUOZ0gR8-N9fgEvykU	shopping_mall|point_of_interest|establishment	53.3489119	-6.259140899999999	False	shopping_mall
17	محل حلال رخيص	ChIJY_38CYQOZ0gRzHHMoIf_QLg	shopping_mall|point_of_interest|establishment	53.349818	-6.262286		shopping_mall
18	Royale Ireland Satellite Centre	ChIJ4yfyMzoPZ0gRdVBTyVjQaY8	shopping_mall|point_of_interest|establishment	53.3492188	-6.261502999999999	False	shopping_mall
