	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Expert Automotive	ChIJLYQymXwOZ0gRMw-U6c6xzdg	car_repair|point_of_interest|establishment	53.3614368	-6.2601178	False		car_repair
1	Tow Direct - 24/7 Recovery Service	ChIJm8qDtGAPZ0gR-jxEOgJ0zNI	car_repair|point_of_interest|establishment	53.3594057	-6.2616947	True		car_repair
2	Dublin 9 Auto Repairs	ChIJXSg6cj4PZ0gR4KK0WgE7-FM	car_repair|point_of_interest|establishment	53.3682148	-6.2633861	False		car_repair
3	Cassin Auto Repairs Limited	ChIJhUcE83AOZ0gRdMWzIJ7qMYQ	car_repair|point_of_interest|establishment	53.368478	-6.263669800000001			car_repair
4	John Keaney Motors	ChIJhUcE83AOZ0gRdRG5H2k-RHg	car_repair|point_of_interest|establishment	53.368478	-6.263669800000001			car_repair
5	Darkside Window Tinting and Veichle Wrapping	ChIJlzmB72IPZ0gRMKZqVFilpco	car_repair|point_of_interest|establishment	53.3685202	-6.263547000000001	False		car_repair
6	Dwyers mobile tyres	ChIJOXIo36wTZ0gR3CHnwmjXspM	car_repair|point_of_interest|store|establishment	53.36064510000001	-6.272648200000002	True		car_repair
7	William O'Brien Motors	ChIJ_cPe0GIOZ0gRbvzIKP5AeyM	car_repair|point_of_interest|establishment	53.3598935	-6.255954300000001			car_repair
8	S&S Recoveryb	ChIJjxxjQPENZ0gRT1R3VXsYMfE	car_repair|point_of_interest|establishment	53.3670467	-6.272757899999998	True		car_repair
9	Liffey Motor Services	ChIJp_EieGQOZ0gRp2ecrT7wwnE	car_repair|point_of_interest|establishment	53.3620781	-6.253902699999999			car_repair
10	R&R Motors	ChIJxxTdd2QOZ0gRPjT0Lf9ICoU	car_repair|point_of_interest|establishment	53.3621199	-6.2535108	False		car_repair
11	R and R motorworx	ChIJC64RkGMOZ0gRSc5Zn58sLYc	car_repair|point_of_interest|establishment	53.3613669	-6.2534545			car_repair
