	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	main_type
0	Best Cabra Car Wash	ChIJSd6D48kNZ0gRGEep46QKMDE	car_wash|point_of_interest|establishment	53.3605341	-6.2995206	False	car_wash
1	Saram Car Wash	ChIJaaZbY-UNZ0gR-KSoN_tSIDU	car_wash|point_of_interest|establishment	53.35642790000001	-6.2871392	False	car_wash
2	Lux Car Care	ChIJlb-CycoNZ0gRHQqIU9AxzIs	car_wash|point_of_interest|establishment	53.362025	-6.276549500000001	True	car_wash
3	Polycar Ireland	ChIJLVsLdg4MZ0gRls68OuvLaC0	car_wash|car_repair|point_of_interest|establishment	53.3550821	-6.286261000000001	False	car_wash
4	Shine On Car Wash	ChIJXzDNtDIMZ0gRpTUzE029PiM	car_wash|point_of_interest|establishment	53.3549394	-6.2871101		car_wash
5	Crystal Clean	ChIJP5TCzEcNZ0gRc9-_qyaEskA	car_wash|point_of_interest|establishment	53.3710899	-6.2809296		car_wash
6	tiger wash	ChIJdf-RXtwNZ0gRtNT28Q6z_lQ	car_wash|point_of_interest|establishment	53.372852	-6.284816		car_wash
7	Car wash & valet	ChIJST4zdlANZ0gREsUMyfx5Df8	car_wash|point_of_interest|establishment	53.3729976	-6.2845951		car_wash
8	Samba Car Wash	ChIJKSVkxzIMZ0gRMKsjNMpBt_s	car_wash|point_of_interest|establishment	53.3540349	-6.286122499999999		car_wash
9	Car wash Crystal clean	ChIJV9_e5n4NZ0gR9R-4JB7mauI	car_wash|point_of_interest|establishment	53.3729894	-6.284366	False	car_wash
10	ALL VALET CAR VALETING Car Cleaning Centre	ChIJMaaalNUNZ0gR3N07gXXEgH4	car_wash|point_of_interest|establishment	53.360335	-6.272823799999999	False	car_wash
11	Maxol Navan Road	ChIJKVoA97oNZ0gRMbgTZhyXRw4	gas_station|car_wash|point_of_interest|store|establishment	53.3663241	-6.312010300000001	False	car_wash
12	BC Cleaning & Maintenance Services	ChIJXe6PLn4OZ0gR7LJrEVQpxJM	car_wash|laundry|point_of_interest|establishment	53.35641210000001	-6.2669353		car_wash
13	Shine Xpress	ChIJfeucooEOZ0gREHQDSEBSUr0	car_wash|point_of_interest|establishment	53.35192050000001	-6.2670196	False	car_wash
14	PNValeting	ChIJuTZC-BENZ0gRJwkL8YsQO_E	car_wash|point_of_interest|establishment	53.3811085	-6.289849500000001	False	car_wash
15	Perfect Touch	ChIJrz0QgOoNZ0gRv-pXrG3dirc	car_wash|point_of_interest|establishment	53.3764494	-6.308762799999998	False	car_wash
16	Eco Car Wash	ChIJW_mMAoIOZ0gREDv76fvu_3o	car_wash|point_of_interest|establishment	53.35038230000001	-6.268763900000001	False	car_wash
