	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	main_type
0	mckee barracks	ChIJW-sm1U8NZ0gRmkjBZe1XlVI	museum|point_of_interest|establishment	53.36026559999999	-6.2767753		museum
1	Votanic Garden	ChIJWQ1qISoNZ0gRkyV8xSFfs9M	museum|point_of_interest|establishment	53.3604464	-6.2764147		museum
2	The round owert	ChIJ893XTqENZ0gROeMC7cYOucY	museum|point_of_interest|establishment	53.3697173	-6.277325599999999		museum
3	Milestone Gallery	ChIJYxSzxzgNZ0gRp6m5PrK04tM	museum|point_of_interest|establishment	53.3695621	-6.276853700000001		museum
5	The round tower	ChIJjymWfZUNZ0gRpA8ZimPc7Bk	museum|point_of_interest|establishment	53.37023360000001	-6.2771298		museum
6	Mariusz Praca	ChIJobH4esENZ0gROgZxRgrhXx8	museum|point_of_interest|establishment	53.3728703	-6.296426299999999		museum
7	FAMINE WAY - 5TH LOCK GLASNEVIN VIEW BRONZE SHOES	ChIJy3rJPbUNZ0gRD3eQOwW38ts	museum|point_of_interest|establishment	53.3729648	-6.299445100000001		museum
8	Irish Prison Services Museum, Mountjoy Prison	ChIJK1pn0sYPZ0gR_RDLKrAvIhc	museum|point_of_interest|establishment	53.3613428	-6.2694204		museum
9	Irish United Nations Veterans Association Post 1	ChIJXyxDSDIMZ0gRW8uN4mRwDyc	museum|point_of_interest|establishment	53.35100300000001	-6.286357000000001	False	museum
11	Military Museum	ChIJi50Eq0sNZ0gRziiOxfsdwtU	museum|point_of_interest|establishment	53.34885789999999	-6.2859296	False	museum
12	National Museum of Ireland - Decorative Arts & History	ChIJS7Q-vDEMZ0gRSvVL0e06s1k	tourist_attraction|museum|point_of_interest|establishment	53.34878029999999	-6.287363100000001	False	museum
13	jameson brewery	ChIJaXh1UFYNZ0gRGdjil3_hCm8	museum|point_of_interest|establishment	53.3481292	-6.2908908		museum
15	Jameson	ChIJb04oBX4NZ0gRwzMgceMKQ8k	museum|point_of_interest|establishment	53.3487499	-6.2762752		museum
16	The Hugh Lane	ChIJE42FqWAMZ0gRhDMWDRn7ksw	art_gallery|tourist_attraction|museum|point_of_interest|establishment	53.35417629999999	-6.2646519	False	museum
