	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	main_type
1	PH Ross Bathroom & Tile Showroom Cabra	ChIJw6zdVswNZ0gRUQrAPzdN0gQ	spa|home_goods_store|general_contractor|point_of_interest|store|establishment	53.3577369	-6.289360499999998	False	spa
2	La Mode Hair & Beauty Phibsborough	ChIJY9DQBtYNZ0gR2IzKNYNHiPM	beauty_salon|hair_care|spa|point_of_interest|establishment	53.36128009999999	-6.2724467	False	spa
3	Ireland Home Sauna Span Jacuzzi Steam Room	ChIJjeDOJd0NZ0gR5vhyA4wdLnU	spa|health|point_of_interest|establishment	53.37382720000001	-6.288252100000001		spa
4	Top to Toe	ChIJkfTb3zIMZ0gR896d4x3JxyA	beauty_salon|hair_care|spa|point_of_interest|establishment	53.3534305	-6.2860857	False	spa
5	Kameleon Skin Clinic	ChIJ776Ke4cOZ0gRmImP3Tl_-mA	beauty_salon|hair_care|spa|health|point_of_interest|establishment	53.363732	-6.270957999999999	False	spa
7	Oasis Beauty	ChIJK45rhi4MZ0gR8XY1bWd5btc	beauty_salon|spa|health|point_of_interest|establishment	53.3493095	-6.279367800000001	False	spa
8	Mov&More	ChIJZw2UbUQPZ0gRLJJrBiqqxKo	beauty_salon|spa|gym|health|point_of_interest|establishment	53.3566679	-6.265476400000001	False	spa
9	Dragonstyle Acupuncture	ChIJfY9ArMgNZ0gRu8gh8_CylZw	spa|health|point_of_interest|store|establishment	53.35027900000001	-6.274754499999998	False	spa
10	S.P.Y. Hair & Beauty Salon	ChIJe9GSQHwOZ0gRA3PLwsmU-B4	beauty_salon|hair_care|spa|point_of_interest|establishment	53.3600988	-6.2627514	False	spa
11	Mov&More - Unit 2	ChIJse73EFINZ0gR88EMTM5Ju2o	beauty_salon|spa|point_of_interest|establishment	53.3503269	-6.273047200000001	False	spa
12	Golden Thai antique massage	ChIJITlUtvMPZ0gRlkYZeyQt5Ts	spa|point_of_interest|establishment	53.35391250000001	-6.266334899999999	False	spa
13	Cleopatra Massage	ChIJu-Q8-oAOZ0gRTuZbro49RsA	spa|point_of_interest|establishment	53.353881	-6.266241399999998	False	spa
14	asian massage dublin 7	ChIJg7XqigkNZ0gREfxnFWT8WuM	spa|point_of_interest|establishment	53.3506379	-6.2712319	False	spa
16	eden	ChIJY6ynISoMZ0gRYyis8DNs8WE	spa|point_of_interest|establishment	53.3506213	-6.271209300000001		spa
17	Sunlight Massage Studio	ChIJy10-BioMZ0gR8oF5BYywTrY	spa|point_of_interest|establishment	53.35085619999999	-6.269675099999999	False	spa
19	The Viva Luxy Clinic	ChIJ6YJ1DVQNZ0gRyW0NZM6TI0M	spa|health|point_of_interest|establishment	53.3499326	-6.269545299999999	False	spa
