	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	price_level	main_type
0	Lidl Cabra East	ChIJTcQVUcwNZ0gRrn5KBBmmmNk	grocery_or_supermarket|supermarket|food|point_of_interest|store|establishment	53.3580216	-6.289279700000001	False		supermarket
1	Tesco Superstore	ChIJl5Te4skNZ0gRvCE1nLIfuaM	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3604932	-6.2996048	False	1.0	supermarket
2	Tesco Metro	ChIJs7B7P80NZ0gR0cuxfNxvnE8	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3560906	-6.2868565	False	1.0	supermarket
3	Tesco Metro	ChIJ3cuOF9YNZ0gR3-L3q0Cs2Lc	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.36230659999999	-6.273300899999999	False	1.0	supermarket
4	Lidl	ChIJZ60B9NwNZ0gRW3MgnGv__V8	grocery_or_supermarket|supermarket|food|point_of_interest|store|establishment	53.3734487	-6.285751999999999	False		supermarket
5	Spar	ChIJL7vj_tUNZ0gRIgdkFHQZP0U	supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment	53.36089289999999	-6.2721097	True	1.0	supermarket
6	Screwfix	ChIJZ3VTOkoNZ0gRWM2ecVs_oyc	hardware_store|supermarket|grocery_or_supermarket|electronics_store|home_goods_store|food|point_of_interest|store|establishment	53.37500009999999	-6.2919562	False		supermarket
7	Mercafly	ChIJFTNWwloNZ0gRsI_pynOe1ec	supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment	53.375343	-6.295464000000001	False		supermarket
8	Saver Express : Convenience Store	ChIJNzxHnUoMZ0gR6w_dy7kaEno	supermarket|grocery_or_supermarket|cafe|food|point_of_interest|store|establishment	53.3523544	-6.2981474	False		supermarket
9	Lidl	ChIJdfmo-4gNZ0gRaYgWIS5zC5M	grocery_or_supermarket|supermarket|food|point_of_interest|store|establishment	53.35063840000001	-6.278937900000001	False		supermarket
10	Fresh Opportunities Limited	ChIJA_19oy4MZ0gRAyQGgSAPjEU	supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3494651	-6.2775921	False		supermarket
11	Gala Convenience Store	ChIJCWViiGQPZ0gRKKxoJfLmCnk	supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment	53.35601	-6.2655411	False		supermarket
12	Hodma Shop	ChIJp2wgroAOZ0gRFQjW6UUtZo8	supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3554459	-6.264145999999999	False		supermarket
13	Alimentara Transilvania	ChIJ3UrogzQPZ0gRkK3wlv4BbSA	supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment	53.35905289999999	-6.2615501	False		supermarket
14	Tesco Express	ChIJK1qj83wOZ0gRFQng048i4Lc	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.36025830000001	-6.260477599999999	False	1.0	supermarket
15	Marks and Spencer	ChIJ-3Zy_zYMZ0gRYsVNNGtOzr0	supermarket|department_store|convenience_store|grocery_or_supermarket|food|point_of_interest|clothing_store|store|establishment	53.34642720000001	-6.294218600000001	False	2.0	supermarket
